Year BP,CO2 (ppm),Sigma mean CO2 (ppm)
-67.3699,409.91,0
-67.4548,409.12,0
-67.2877,408.95,0
-66.3716,407.66,0
-66.2896,407.57,0
-67.537,407.2,0
-67.2027,407.06,0
-66.4563,407,0
-67.126,406.64,0
-67.0411,406.07,0
-67.6219,405.24,0
-66.2049,404.85,0
-66.9563,404.55,0
-66.5383,404.5,0
-66.1257,404.16,0
-65.3699,404.1,0
-66.8743,403.64,0
-65.2877,403.45,0
-65.4548,402.88,0
-66.041,402.65,0
-66.623,402.24,0
-65.9562,401.89,0
-64.3699,401.88,0
-65.537,401.61,0
-65.2027,401.51,0
-66.7896,401.5,0
-64.2877,401.33,0
-64.4548,401.31,0
-66.7077,401.01,0
-65.126,400.31,0
-65.874,400.24,0
-63.3699,399.98,0
-65.0411,399.85,0
-64.2027,399.47,0
-64.537,399.07,0
-65.6219,399,0
-63.4548,398.87,0
-64.9562,398.79,0
-63.2877,398.35,0
-65.789,398.28,0
-64.126,398.1,0
-64.0411,397.93,0
-65.7068,397.5,0
-63.537,397.37,0
-63.2027,397.26,0
-64.874,397.22,0
-64.6219,397.21,0
-62.3716,396.87,0
-63.126,396.85,0
-63.9562,396.82,0
-62.2896,396.43,0
-62.4563,395.88,0
-64.789,395.65,0
-63.0411,395.61,0
-63.6219,395.41,0
-64.7068,395.4,0
-63.874,395.19,0
-62.5383,394.52,0
-62.2049,394.36,0
-62.9563,394.34,0
-61.3699,394.28,0
-63.789,393.7,0
-61.4548,393.69,0
-63.7068,393.39,0
-61.2877,393.37,0
-62.1257,393.35,0
-60.3699,393.22,0
-62.041,393.07,0
-62.8743,392.95,0
-61.537,392.6,0
-62.623,392.54,0
-61.2027,392.45,0
-60.2877,392.38,0
-60.4548,392.24,0
-61.126,391.92,0
-61.9562,391.8,0
-61.0411,391.3,0
-62.7077,391.13,0
-60.2027,391.01,0
-62.7896,391.01,0
-60.537,390.33,0
-61.874,390.24,0
-61.6219,390.21,0
-59.3699,390.16,0
-60.126,390.07,0
-60.9562,389.81,0
-59.4548,389.62,0
-59.2877,389.57,0
-61.7068,389,0
-61.789,388.93,0
-60.874,388.67,0
-60.0411,388.55,0
-60.6219,388.52,0
-58.3716,388.51,0
-59.2027,388.51,0
-59.537,388.07,0
-58.4563,388.05,0
-59.9562,387.49,0
-60.789,387.16,0
-59.126,387.12,0
-60.7068,386.84,0
-58.2896,386.77,0
-59.0411,386.65,0
-57.3699,386.41,0
-58.5383,386.25,0
-57.2877,386.23,0
-59.6219,386.08,0
-59.874,386.05,0
-57.4548,385.87,0
-58.1257,385.84,0
-58.2049,385.83,0
-58.9563,385.11,0
-58.041,385.07,0
-56.3699,384.92,0
-59.7068,384.65,0
-57.537,384.45,0
-56.2877,384.37,0
-57.2027,384.34,0
-59.789,384.33,0
-58.623,384.08,0
-56.4548,384.03,0
-58.8743,384.01,0
-57.126,383.71,0
-57.9562,383.61,0
-58.7077,383.09,0
-58.7896,382.78,0
-57.0411,382.58,0
-56.2027,382.56,0
-57.874,382.35,0
-56.537,382.28,0
-55.3699,382.24,0
-55.4548,382.08,0
-55.2877,382.05,0
-56.126,382.02,0
-57.6219,381.84,0
-56.9562,381.66,0
-56.0411,381.37,0
-57.7068,380.86,0
-57.789,380.86,0
-55.537,380.67,0
-54.3716,380.61,0
-54.2896,380.5,0
-56.6219,380.48,0
-56.874,380.14,0
-55.2027,380.07,0
-55.9562,379.96,0
-55.126,379.61,0
-54.4563,379.55,0
-56.789,379.06,0
-56.7068,378.81,0
-55.6219,378.67,0
-54.2049,378.39,0
-53.3699,378.35,0
-55.0411,378.34,0
-55.874,378.31,0
-53.4548,378.13,0
-54.5383,377.76,0
-53.2877,377.65,0
-54.9563,377.44,0
-54.1257,377.36,0
-55.789,376.8,0
-54.041,376.79,0
-53.537,376.61,0
-55.7068,376.42,0
-53.2027,376.11,0
-54.623,375.84,0
-54.8743,375.84,0
-53.9562,375.69,0
-53.126,375.62,0
-52.3699,375.55,0
-52.4548,375.4,0
-52.2877,374.86,0
-53.0411,374.68,0
-53.6219,374.48,0
-53.874,374.35,0
-54.7896,374.22,0
-54.7077,374.05,0
-51.3699,374.02,0
-52.537,374.02,0
-52.9562,373.78,0
-52.2027,373.52,0
-51.4548,373.31,0
-52.126,373.08,0
-53.789,373,0
-53.7068,372.98,0
-51.2877,372.86,0
-52.0411,372.44,0
-51.2027,372.12,0
-52.874,372.08,0
-50.3716,371.83,0
-50.4563,371.69,0
-50.2896,371.66,0
-51.537,371.62,0
-51.126,371.5,0
-52.6219,371.49,0
-51.9562,371.24,0
-49.2877,371.14,0
-49.3699,371,0
-52.7068,370.7,0
-50.2049,370.51,0
-49.4548,370.35,0
-51.0411,370.28,0
-52.789,370.25,0
-50.5383,370.12,0
-51.874,369.68,0
-49.2027,369.59,0
-51.6219,369.55,0
-50.9563,369.53,0
-50.1257,369.46,0
-48.3699,369.3,0
-49.537,369.27,0
-50.041,369.14,0
-48.4548,368.88,0
-49.126,368.87,0
-48.2877,368.61,0
-50.8743,368.29,0
-49.0411,368.15,0
-50.623,368.12,0
-51.789,368.1,0
-49.9562,368,0
-51.7068,367.96,0
-48.537,367.64,0
-48.2027,367.31,0
-48.9562,366.97,0
-49.6219,366.93,0
-47.3699,366.8,0
-50.7896,366.73,0
-49.874,366.68,0
-50.7077,366.62,0
-47.2877,366.36,0
-48.126,366.15,0
-48.6219,365.78,0
-47.4548,365.63,0
-48.874,365.46,0
-46.3716,365.41,0
-48.0411,365.33,0
-49.789,365.13,0
-46.4563,364.97,0
-46.2896,364.71,0
-49.7068,364.64,0
-47.2027,364.56,0
-47.537,364.47,0
-47.9562,364.28,0
-48.789,364.24,0
-46.2049,364.02,0
-47.126,363.99,0
-48.7068,363.9,0
-45.3699,363.8,0
-46.5383,363.65,0
-45.2877,363.45,0
-45.4548,363.26,0
-46.1257,363.24,0
-47.0411,363.18,0
-47.6219,362.5,0
-47.874,362.43,0
-46.9563,362.33,0
-46.041,362.05,0
-45.537,361.89,0
-44.3699,361.69,0
-45.2027,361.64,0
-46.623,361.48,0
-44.2877,361.26,0
-45.126,361,0
-44.4548,360.94,0
-47.789,360.77,0
-46.8743,360.76,0
-45.9562,360.7,0
-43.3699,360.28,0
-47.7068,360.19,0
-44.2027,359.97,0
-45.0411,359.97,0
-42.3716,359.66,0
-46.7896,359.61,0
-43.4548,359.6,0
-45.874,359.56,0
-44.537,359.55,0
-43.2877,359.46,0
-45.6219,359.45,0
-46.7077,359.45,0
-41.3699,359.34,0
-42.4563,359.25,0
-42.2896,359.15,0
-44.9562,359.04,0
-44.126,358.91,0
-41.2877,358.6,0
-43.2027,358.38,0
-44.0411,358.37,0
-41.4548,358.24,0
-45.7068,358.05,0
-42.2049,357.81,0
-45.789,357.76,0
-44.874,357.58,0
-43.537,357.57,0
