Year,World (TWh)
1965,43388.60093
1966,45746.28297
1967,47462.32
1968,50331.49328
1969,53791.07131
1970,57122.65526
1971,59471.33866
1972,62633.20576
1973,66197.07588
1974,66490.32134
1975,66773.87217
1976,70380.9776
1977,72837.46615
1978,75107.73231
1979,77752.16876
1980,77249.93704
1981,76825.90691
1982,76451.29392
1983,77624.54025
1984,81318.17932
1985,83524.53724
1986,85344.02878
1987,88351.76334
1988,91691.0801
1989,93668.57626
1990,94689.69914
1991,95400.27026
1992,96097.58658
1993,96661.50306
1994,97944.70298
1995,99907.81718
1996,102828.5088
1997,103935.9316
1998,104695.2573
1999,106582.4198
2000,109210.9499
2001,110527.3104
2002,113003.593
2003,117198.8348
2004,122889.282
2005,127220.0793
2006,131031.759
2007,135217.2832
2008,137045.8623
2009,134925.4191
2010,141536.8938
2011,144855.0541
2012,146931.5066
2013,149631.6894
2014,151060.2729
2015,152411.1374
2016,154403.4457
