Year,Canada,United Kingdom,United States,World
1990,62.37871882,1.828767447,11.52864685,19.36152187
1991,61.41041299,1.656439045,10.75741423,19.23294985
1992,61.67921442,2.005661571,9.916110117,19.15826213
1993,61.72232798,1.777625791,10.48432561,19.787379
1994,60.40045134,2.139841981,9.747235524,19.53734492
1995,61.00409818,2.066534532,10.80108499,19.83425132
1996,63.10607423,1.627480225,11.58145005,19.50401646
1997,62.35094142,1.989231915,10.97782813,19.38194755
1998,60.40605432,2.395320692,9.608584982,19.0355085
1999,61.18370484,2.632717317,9.069200581,18.66521701
2000,60.60030119,2.663105175,8.205996942,18.33247347
2001,58.03265624,2.497332413,6.783992314,17.8688251
2002,59.88641921,2.893173338,8.646361178,17.78813664
2003,58.91556496,2.687161955,8.889376121,17.37619532
2004,58.44631709,3.615249165,8.630185532,17.8054605
2005,59.43284523,4.283239552,8.578465534,17.95229947
2006,59.43601725,4.601846839,9.244631183,18.11280189
2007,60.04869016,5.010051658,8.367763936,17.87544809
2008,61.29461264,5.670924234,9.003541347,18.54967514
2009,62.70043795,6.757810929,10.29184507,19.32868062
2010,61.44132653,6.848008959,10.12035515,19.56337971
2011,62.26869274,9.643994656,12.22571352,19.9331194
2012,62.72577867,11.57796659,12.00739706,20.89085677
2013,63.01787239,15.12670379,12.63791912,21.66894032
2014,62.79930012,19.43923676,12.95382709,22.34902703
